gsis_id,season,games,att,cmp,yds,td,int,epa,passing_air_yards,passing_yards_after_catch,passing_first_downs,pacr,dakota,sacks,sack_yards,passing_2pt_conversions
00-0020305,2006,2,38,26,342.0,3,0.0,15.59684150404626,282.0,167.0,15.0,2.2298850574712645,0.34949835662032264,1.0,10.0,0
00-0020305,2007,3,103,59,681.0,5,8.0,-7.336493589519964,999.0,270.0,34.0,2.2498078921808804,0.3568651029921843,3.0,10.0,0
00-0020305,2011,4,97,53,548.0,1,2.0,-24.959176459116918,617.0,369.0,27.0,4.4173837953726585,-0.23063354617938348,10.0,72.0,0
00-0020308,2001,7,115,53,671.0,3,1.0,-18.365057815370932,0.0,0.0,34.0,0.0,0.354919246913143,21.0,122.0,0
00-0020308,2002,8,147,62,874.0,7,9.0,-31.437048470848996,0.0,0.0,40.0,0.0,0.292892202002913,12.0,99.0,1
00-0020308,2003,3,31,9,87.0,0,2.0,-19.364820639486425,0.0,0.0,4.0,0.0,0.07261766268474551,2.0,9.0,0
00-0020308,2004,1,15,11,77.0,0,1.0,-3.711220423982013,0.0,0.0,4.0,0.0,0.028204290904123474,1.0,12.0,0
00-0020308,2005,9,207,94,1158.0,5,8.0,-55.5199813035796,0.0,0.0,56.0,0.0,0.35344852257439646,21.0,103.0,0
00-0020337,2004,1,1,0,0.0,0,0.0,-0.5327754141762853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0020376,2002,12,1,0,0.0,0,1.0,-2.3687692696694285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0020397,2010,14,1,0,0.0,0,0.0,-0.5161897784564644,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0020404,2001,8,176,90,1072.0,5,7.0,-20.69882264111886,0.0,0.0,46.0,0.0,0.4995533222253677,12.0,56.0,0
00-0020404,2002,7,221,125,1465.0,7,8.0,-10.824405551989024,0.0,0.0,66.0,0.0,0.47366382339662905,19.0,130.0,0
00-0020404,2003,16,506,292,3302.0,17,21.0,-49.63527101812181,0.0,0.0,148.0,0.0,0.8876888124489667,37.0,185.0,0
00-0020404,2004,6,58,35,498.0,3,1.0,4.21447305880782,0.0,0.0,25.0,0.0,0.29446768930856865,12.0,70.0,0
00-0020405,2001,1,4,3,34.0,0,0.0,1.3038425983977504,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
00-0020405,2003,4,45,25,324.0,0,3.0,-3.0282009923273985,0.0,0.0,14.0,0.0,0.11153081746356382,2.0,14.0,0
00-0020405,2005,1,26,14,124.0,1,2.0,-13.429359257017657,0.0,0.0,8.0,0.0,0.025703078987468014,6.0,40.0,0
00-0020405,2006,2,13,6,68.0,1,2.0,-3.334553019987652,105.0,18.0,4.0,1.4467564259485923,-0.04488353332874204,0.0,0.0,0
00-0020405,2008,2,2,1,4.0,0,0.0,-5.763125911355019,7.0,0.0,0.0,0.5714285714285714,0.0,3.0,29.0,0
00-0020434,2001,15,540,293,2931.0,11,19.0,-95.81140016016204,0.0,0.0,137.0,0.0,0.8258726410487661,26.0,177.0,0
00-0020434,2002,6,38,17,180.0,0,3.0,-24.58850870630369,0.0,0.0,10.0,0.0,0.2019480248328239,6.0,35.0,0
00-0020434,2005,3,13,7,64.0,1,0.0,3.6810295552615018,0.0,0.0,4.0,0.0,0.338868592760246,0.0,0.0,0
00-0020434,2006,3,96,56,625.0,2,4.0,-27.793937143789947,831.0,234.0,26.0,2.030628901485255,0.08615543861555773,10.0,55.0,0
00-0020434,2007,1,22,13,104.0,1,0.0,-9.964236318890471,156.0,75.0,5.0,0.6666666666666666,0.03715882928977428,5.0,31.0,0
00-0020452,2003,14,1,1,6.0,0,0.0,0.26711337419692427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0020452,2006,14,1,1,21.0,0,0.0,1.4107511210022494,21.0,0.0,1.0,1.0,0.0,0.0,0.0,0
00-0020462,2001,13,1,0,0.0,0,0.0,-0.8233621432445943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0020462,2004,14,1,0,0.0,0,1.0,-6.924757323751692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0020471,2003,15,1,0,0.0,0,1.0,-4.018952534534037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0020480,2002,2,3,0,0.0,0,0.0,-1.5345610509975813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0020480,2003,2,6,4,50.0,1,0.0,3.849274330306798,0.0,0.0,2.0,0.0,0.21619262746727813,0.0,0.0,0
00-0020480,2004,2,39,16,264.0,1,3.0,-13.040463357258243,0.0,0.0,9.0,0.0,0.024381587971135012,3.0,16.0,0
00-0020480,2005,4,61,34,462.0,4,3.0,6.606511226273142,0.0,0.0,17.0,0.0,0.29172324151038126,0.0,0.0,0
