gsis_id,season,games_played,att_mean,att_std,epa_mean,epa_std,epa_per_att_mean,epa_per_att_std,ypa_mean,ypa_std,cmp_pct_mean,td_rate_mean,int_rate_mean,epa_min,epa_max,att_cv,epa_cv,epa_per_att_cv,games_positive_epa,pct_games_positive_epa
00-0026143,2021,17,32.94117647058823,7.733616458644155,0.48381132941176475,11.477736870999683,-0.018110482145330516,0.37172537108173254,7.093961753733016,1.6088477234863252,0.6623217891259848,0.03328451771270803,0.023279054174635796,-15.975289,21.30798,0.23477049963741187,23.72358019179652,20.525426551251464,8.0,0.47058823529411764
00-0026143,2022,12,38.416666666666664,8.691253004479778,-2.0633338416666667,10.368557730598651,-0.07287905861949395,0.2822777845606274,6.6469506735896715,1.1545446573471785,0.6666842526787704,0.029336887795305647,0.029312908839451163,-20.349194,17.657375,0.22623652072398556,5.025147904433829,3.873235877461276,4.0,0.3333333333333333
00-0026158,2018,9,42.111111111111114,7.912718313646147,2.1310871000000002,8.806232383504783,0.07272029178975561,0.20775489424846033,6.52708321090674,1.13197089289328,0.6197532844591669,0.03346312022782611,0.014725539725539725,-10.237718,11.536174,0.18790096259318026,4.132272389760504,2.856904024107994,5.0,0.5555555555555556
00-0026158,2019,8,32.75,8.6972902183874,-2.9101512375,9.316202294371484,-0.11499170294941863,0.27564645936890225,7.115913442604663,1.3556315418558618,0.6539407621692784,0.022650679117147708,0.020814104226082448,-20.40842,7.573604,0.26556611353854653,3.2012777117297446,2.3970986801556524,3.0,0.375
00-0026158,2020,5,26.8,15.514509338035799,-1.833018646,11.47071841722368,-0.09039836542424243,0.41463021663742344,7.089939393939394,2.343919339398253,0.6485454545454545,0.043393939393939394,0.019212121212121215,-18.157492,14.237413,0.5788996021655148,6.257829641970636,4.5867003755162,1.0,0.2
00-0026158,2021,2,21.0,25.45584412271571,3.14705955,3.1280557743887183,0.90514445,1.2461558001014268,11.564102564102564,5.801901794351158,0.8076923076923077,0.1923076923076923,0.0,0.9351901,5.358929,1.212183053462653,0.9939614184894335,1.3767479876846473,2.0,1.0
00-0026158,2022,5,38.2,21.924871721403527,-5.072340848,12.998124685975473,-0.5389614466799415,1.0761947979158173,4.508762988424006,2.5001669431205666,0.5270554304452609,0.02157164869029276,0.011082138200782268,-23.438705,12.344181,0.5739495215027101,2.5625495359012738,1.99679365666188,2.0,0.4
00-0026158,2023,6,41.666666666666664,6.3456021516217564,-3.2278134666666674,14.279196858095403,-0.054719690193770355,0.33795565285072404,7.879138100502419,1.7718760256257053,0.6290047797169236,0.0590319558835301,0.0397852300401026,-17.759293,19.032988,0.15229445163892216,4.423798650558762,6.176125114268266,2.0,0.3333333333333333
00-0026197,2018,1,3.0,,0.37695605,,0.12565201666666667,,9.666666666666666,,0.6666666666666666,0.0,0.0,0.37695605,0.37695605,,,,1.0,1.0
00-0026197,2020,4,11.5,13.892443989449806,3.49018132325,6.4403631295740515,0.29972919665625003,0.5895285355022749,6.453125,1.6546769259183698,0.8046875,0.015625,0.03125,-1.1292893,12.932486,1.208038607778244,1.8452803831913496,1.966870568763398,3.0,0.75
00-0026197,2021,1,16.0,,4.0479846,,0.2529990375,,5.125,,0.6875,0.0,0.0,4.0479846,4.0479846,,,,1.0,1.0
00-0026197,2022,2,4.5,3.5355339059327378,0.4077190999999999,3.2516063502344217,-0.2795247357142857,0.9421945624220371,1.6428571428571428,2.3233508524700848,0.35714285714285715,0.07142857142857142,0.0,-1.8915138,2.706952,0.7856742013183862,7.975114117132169,3.3707019166457415,1.0,0.5
