gsis_id,season,carries,rushing_yards,rushing_tds,rushing_epa,rushing_first_downs,rushing_fumbles,rushing_fumbles_lost,games,ryoe_total,ryoe_per_att,rush_pct_oe,pct_box_8plus,avg_time_to_los,ngs_efficiency,display_name,position,birth_date,rookie_season,draft_round,draft_pick,has_ngs,age,age_c,age_c2,experience,log_carries,rushing_epa_per_att,rushing_epa_lag1,carries_lag1,log_carries_lag1,ryoe_per_att_lag1,rushing_epa_per_att_lag1,pct_box_8plus_lag1,delta_rushing_epa,delta_carries,delta_ryoe_per_att
00-0032780,2019,119,525.0,6,-0.4524602111778222,28.0,0.0,0.0,9,-9.930359180202231,-0.08344839647228766,0.4117647058823529,17.647058823529413,2.785036363636363,3.4970666666666665,Jordan Howard,RB,1994-11-02,2016,5.0,150.0,1,24.829568788501028,-0.6529987545522857,0.4264073734468363,3,4.77912349311153,-0.003802186648553128,-25.161630174948463,250.0,5.521460917862246,-0.4543414018388062,-0.10064652069979385,14.000000000000002,24.70916996377064,-131.0,0.3708930053665186
00-0032780,2021,86,406.0,3,-0.5718935054627892,24.0,0.0,0.0,7,,-0.26889489915554693,,15.823529411764707,,,Jordan Howard,RB,1994-11-02,2016,5.0,150.0,0,26.830937713894592,1.348370170841278,1.8181021176145375,5,4.454347296253507,-0.006649924482125456,-0.4524602111778222,119.0,4.77912349311153,-0.08344839647228766,-0.003802186648553128,17.647058823529413,-0.11943329428496696,-33.0,-0.18544650268325927
00-0032782,2016,77,312.0,1,-8.594344173101623,20.0,1.0,1.0,12,,-0.47730012633505847,,6.896551724137931,,,Wendell Smallwood,RB,1994-01-20,2016,5.0,153.0,0,22.614647501711158,-2.867920041342156,8.224965363531995,0,4.343805421853684,-0.11161485939093017,,,,,,,,,
00-0032782,2018,87,364.0,3,2.8676920006846878,22.0,1.0,0.0,13,-41.525110991150086,-0.47730012633505847,0.39080459770114945,6.896551724137931,2.7646913580246903,3.872554945054944,Wendell Smallwood,RB,1994-01-20,2016,5.0,153.0,1,24.61327857631759,-0.8692889667357235,0.7556633076884619,2,4.465908118654584,0.03296197701936423,-8.594344173101623,77.0,4.343805421853684,-0.47730012633505847,-0.11161485939093017,6.896551724137931,11.462036173786311,10.0,0.0
00-0032940,2016,87,467.0,2,0.10227470303652808,19.0,1.0,1.0,13,,-0.975818091828508,,20.689655172413794,2.588197530864198,3.1377730192719486,DeAndre Washington,RB,1993-02-22,2016,5.0,143.0,0,23.523613963039015,-1.958953580014299,3.8374991286508386,0,4.465908118654584,0.0011755712992704377,,,,,,,,,
00-0032940,2019,108,387.0,3,-16.50114152978369,23.0,0.0,0.0,16,-105.38835391747887,-0.975818091828508,0.3055555555555556,14.814814814814813,2.7820300000000007,4.279457364341083,DeAndre Washington,RB,1993-02-22,2016,5.0,143.0,1,26.521560574948666,1.0389930318953517,1.0795065203270955,3,4.68213122712422,-0.15278834749799713,0.10227470303652808,87.0,4.465908118654584,-0.975818091828508,0.0011755712992704377,20.689655172413794,-16.60341623282022,21.0,0.0
00-0032972,2016,174,612.0,4,-27.57296769665021,30.0,2.0,1.0,16,,0.1260626899878043,,24.137931034482758,2.4843607594936703,4.505098039215687,Devontae Booker,RB,1992-05-27,2016,4.0,136.0,0,24.265571526351813,-1.2169960167015006,1.4810793046673192,0,5.159055299214529,-0.15846533158994375,,,,,,,,,
00-0032972,2017,79,299.0,1,-4.480927298136521,11.0,1.0,0.0,13,,0.1260626899878043,,16.878012606599928,,,Devontae Booker,RB,1992-05-27,2016,4.0,136.0,0,25.26488706365503,-0.2176804793982825,0.04738479111106609,1,4.3694478524670215,-0.056720598710588876,-27.57296769665021,174.0,5.159055299214529,0.1260626899878043,-0.15846533158994375,24.137931034482758,23.09204039851369,-95.0,0.0
00-0032972,2020,93,423.0,3,2.9274540421320125,21.0,1.0,0.0,15,46.0518116870677,0.49518077082868495,0.34408602150537637,17.20430107526882,2.5066404494382026,3.386666666666667,Devontae Booker,RB,1992-05-27,2016,4.0,136.0,1,28.265571526351813,2.7830039832984994,7.745111171055314,4,4.532599493153256,0.031478000453032395,-4.480927298136521,79.0,4.3694478524670215,0.1260626899878043,-0.056720598710588876,16.878012606599928,7.408381340268534,14.0,0.36911808084088066
00-0032972,2021,145,593.0,2,-13.068403237784468,31.0,0.0,0.0,16,-34.75692089198992,-0.24305539085307637,0.3916083916083916,16.551724137931036,2.619046153846155,3.422715008431703,Devontae Booker,RB,1992-05-27,2016,4.0,136.0,1,29.26488706365503,3.7823195206017175,14.305940955924806,5,4.976733742420574,-0.0901269188812722,2.9274540421320125,93.0,4.532599493153256,0.49518077082868495,0.031478000453032395,17.20430107526882,-15.99585727991648,52.0,-0.7382361616817613
00-0033025,2016,83,491.0,1,2.2450208139489405,14.0,0.0,0.0,16,,0.09198216852442154,,21.502689616064217,,,Jalen Richard,RB,1993-10-15,2016,,,0,22.88021902806297,-2.602348514990343,6.772217793472443,0,4.418840607796598,0.0270484435415535,,,,,,,,,
00-0033045,2016,322,1631.0,15,12.951234621394848,91.0,5.0,1.0,15,,-0.006450274656555954,,28.88198757763975,2.805418918918917,3.6513059472716116,Ezekiel Elliott,RB,1995-07-22,2016,1.0,4.0,0,21.114305270362767,-4.368262272690547,19.081715283011583,0,5.7745515455444085,0.040221225532282134,,,,,,,,,
00-0033045,2017,242,983.0,7,-4.985430675627635,55.0,1.0,1.0,10,,-0.006450274656555954,,35.12396694214876,2.9013677130044853,4.001637843336724,Ezekiel Elliott,RB,1995-07-22,2016,1.0,4.0,0,22.11362080766598,-3.3689467353873326,11.349802105876966,1,5.488937726156687,-0.02060095320507287,12.951234621394848,322.0,5.7745515455444085,-0.006450274656555954,0.040221225532282134,28.88198757763975,-17.936665297022483,-80.0,0.0
00-0033045,2018,304,1434.0,6,-9.76068959815968,74.0,6.0,1.0,15,134.5946878092675,0.4456777742028725,0.4105960264900662,25.0,2.850989090909089,3.566792189679218,Ezekiel Elliott,RB,1995-07-22,2016,1.0,4.0,1,23.1129363449692,-2.3696311980841145,5.615152014933556,2,5.717027701406222,-0.03210753157289368,-4.985430675627635,242.0,5.488937726156687,-0.006450274656555954,-0.02060095320507287,35.12396694214876,-4.7752589225320445,62.0,0.4521280488594285
